date,endo_value
2017-01-01,419.0
2017-01-02,361.78
2017-01-03,329.61
2017-01-04,359.89
2017-01-05,416.72
2017-01-06,470.78
2017-01-07,472.83
2017-01-08,444.89
2017-01-09,557.72
2017-01-10,761.94
2017-01-11,751.89
2017-01-12,580.94
2017-01-13,720.0
2017-01-14,742.94
2017-01-15,716.17
2017-01-16,909.06
2017-01-17,1031.0
2017-01-18,975.11
2017-01-19,1008.0
2017-01-20,977.22
2017-01-21,1020.33
2017-01-22,1019.33
2017-01-23,857.11
2017-01-24,920.0
2017-01-25,1047.22
2017-01-26,1153.33
2017-01-27,1144.33
2017-01-28,1125.39
2017-01-29,1019.33
2017-01-30,882.11
2017-01-31,734.0
2017-02-01,617.06
2017-02-02,591.0
2017-02-03,508.83
2017-02-04,609.11
2017-02-05,630.17
2017-02-06,917.17
2017-02-07,1180.28
2017-02-08,997.17
2017-02-09,874.17
2017-02-10,760.11
2017-02-11,655.0
2017-02-12,535.0
2017-02-13,570.0
2017-02-14,520.0
2017-02-15,387.94
2017-02-16,440.83
2017-02-17,332.72
2017-02-18,401.89
2017-02-19,408.89
2017-02-20,242.67
2017-02-21,322.89
2017-02-22,380.83
2017-02-23,395.72
2017-02-24,402.72
2017-02-25,252.89
2017-02-26,285.0
2017-02-27,293.94
2017-02-28,400.06
2017-03-01,474.94
2017-03-02,704.0
2017-03-03,706.94
2017-03-04,715.06
2017-03-05,653.06
2017-03-06,697.0
2017-03-07,793.06
2017-03-08,744.89
2017-03-09,737.89
2017-03-10,725.89
2017-03-11,579.89
2017-03-12,517.06
2017-03-13,454.83
2017-03-14,459.89
2017-03-15,422.83
2017-03-16,368.89
2017-03-17,401.94
2017-03-18,511.0
2017-03-19,459.06
2017-03-20,595.06
2017-03-21,763.06
2017-03-22,690.06
2017-03-23,616.94
2017-03-24,489.94
2017-03-25,378.94
2017-03-26,365.0
2017-03-27,430.89
2017-03-28,368.83
2017-03-29,328.78
2017-03-30,391.83
2017-03-31,298.78
2017-04-01,356.0
2017-04-02,302.0
2017-04-03,240.83
2017-04-04,319.83
2017-04-05,287.83
2017-04-06,278.83
2017-04-07,186.78
2017-04-08,272.89
2017-04-09,342.0
2017-04-10,541.94
2017-04-11,407.89
2017-04-12,390.25
2017-04-13,322.62
2017-04-14,400.0
2017-04-15,317.93
2017-04-16,340.31
2017-04-17,361.93
2017-04-18,263.93
2017-04-19,304.62
2017-04-20,236.93
2017-04-21,304.31
2017-04-22,272.62
2017-04-23,269.0
2017-04-24,325.62
2017-04-25,242.62
2017-04-26,281.62
2017-04-27,313.93
2017-04-28,336.31
2017-04-29,298.0
2017-04-30,348.69
2017-05-01,290.0
2017-05-02,293.0
2017-05-03,263.31
2017-05-04,337.31
2017-05-05,294.62
2017-05-06,242.31
2017-05-07,368.0
2017-05-08,322.31
2017-05-09,357.93
2017-05-10,348.31
2017-05-11,309.0
2017-05-12,320.62
2017-05-13,231.24
2017-05-14,235.31
2017-05-15,325.62
2017-05-16,211.93
2017-05-17,285.93
2017-05-18,215.24
2017-05-19,303.0
2017-05-20,319.0
2017-05-21,543.38
2017-05-22,758.69
2017-05-23,687.07
2017-05-24,704.76
2017-05-25,594.07
2017-05-26,595.07
2017-05-27,434.69
2017-05-28,441.69
2017-05-29,284.0
2017-05-30,380.69
2017-05-31,443.69
2017-06-01,322.0
2017-06-02,315.0
2017-06-03,278.0
2017-06-04,347.69
2017-06-05,306.0
2017-06-06,330.62
2017-06-07,247.62
2017-06-08,387.62
2017-06-09,321.0
2017-06-10,253.31
2017-06-11,302.0
2017-06-12,271.62
2017-06-13,299.0
2017-06-14,491.69
2017-06-15,389.69
2017-06-16,397.69
2017-06-17,436.69
2017-06-18,375.69
2017-06-19,393.69
2017-06-20,271.0
2017-06-21,352.69
2017-06-22,283.0
2017-06-23,234.0
2017-06-24,306.0
2017-06-25,297.0
2017-06-26,271.0
2017-06-27,200.31
2017-06-28,237.31
2017-06-29,304.31
2017-06-30,244.62
2017-07-01,303.0
2017-07-02,250.0
2017-07-03,234.0
2017-07-04,298.0
2017-07-05,247.0
2017-07-06,207.31
2017-07-07,287.31
2017-07-08,223.31
2017-07-09,146.62
2017-07-10,286.31
2017-07-11,171.24
2017-07-12,307.62
2017-07-13,261.31
2017-07-14,280.93
2017-07-15,209.31
2017-07-16,126.62
2017-07-17,177.62
2017-07-18,255.62
2017-07-19,180.24
2017-07-20,161.93
2017-07-21,288.55
2017-07-22,195.24
2017-07-23,202.31
2017-07-24,135.24
2017-07-25,224.55
2017-07-26,186.55
2017-07-27,105.42
2017-07-28,238.11
2017-07-29,182.52
2017-07-30,87.56
2017-07-31,179.07
2017-08-01,149.11
2017-08-02,232.11
2017-08-03,115.11
2017-08-04,168.63
2017-08-05,230.56
2017-08-06,114.04
2017-08-07,173.59
2017-08-08,120.15
2017-08-09,140.19
2017-08-10,162.67
2017-08-11,148.63
2017-08-12,134.56
2017-08-13,151.04
2017-08-14,215.11
2017-08-15,157.44
2017-08-16,114.36
2017-08-17,128.75
2017-08-18,217.06
2017-08-19,220.92
2017-08-20,238.61
2017-08-21,104.83
2017-08-22,178.61
2017-08-23,263.61
2017-08-24,185.22
2017-08-25,126.83
2017-08-26,177.92
2017-08-27,140.92
2017-08-28,176.14
2017-08-29,113.75
2017-08-30,102.36
2017-08-31,199.78
2017-09-01,91.74
2017-09-02,120.56
2017-09-03,141.46
2017-09-04,156.74
2017-09-05,43.83
2017-09-06,257.83
2017-09-07,90.37
2017-09-08,162.46
2017-09-09,100.46
2017-09-10,137.28
2017-09-11,157.37
2017-09-12,72.65
2017-09-13,115.46
2017-09-14,96.74
2017-09-15,166.65
2017-09-16,116.38
2017-09-17,161.37
2017-09-18,78.21
2017-09-19,88.75
2017-09-20,128.75
2017-09-21,126.75
2017-09-22,169.21
2017-09-23,124.29
2017-09-24,94.37
2017-09-25,137.21
2017-09-26,124.67
2017-09-27,69.58
2017-09-28,77.04
2017-09-29,136.12
2017-09-30,150.38
2017-10-01,200.26
2017-10-02,201.62
2017-10-03,285.53
2017-10-04,463.35
2017-10-05,489.26
2017-10-06,450.7
2017-10-07,339.53
2017-10-08,292.18
2017-10-09,260.7
2017-10-10,233.88
2017-10-11,234.7
2017-10-12,264.79
2017-10-13,181.7
2017-10-14,211.13
2017-10-15,223.96
2017-10-16,218.53
2017-10-17,172.75
2017-10-18,241.92
2017-10-19,160.5
2017-10-20,200.87
2017-10-21,202.88
2017-10-22,132.0
2017-10-23,136.37
2017-10-24,188.87
2017-10-25,196.75
2017-10-26,201.0
2017-10-27,208.5
2017-10-28,205.0
2017-10-29,202.38
2017-10-30,227.25
2017-10-31,304.0
2017-11-01,345.37
2017-11-02,304.88
2017-11-03,284.62
2017-11-04,246.37
2017-11-05,255.5
2017-11-06,256.51
2017-11-07,206.62
2017-11-08,231.62
2017-11-09,250.43
2017-11-10,227.44
2017-11-11,233.61
2017-11-12,258.9
2017-11-13,282.51
2017-11-14,379.91
2017-11-15,373.1
2017-11-16,306.42
2017-11-17,289.42
2017-11-18,389.59
2017-11-19,225.0
2017-11-20,267.7
2017-11-21,367.9
2017-11-22,494.69
2017-11-23,593.79
2017-11-24,719.57
2017-11-25,745.08
2017-11-26,756.27
2017-11-27,608.29
2017-11-28,580.7
2017-11-29,519.9
2017-11-30,470.71
2017-12-01,534.11
2017-12-02,668.19
2017-12-03,869.96
2017-12-04,766.71
2017-12-05,896.19
2017-12-06,875.38
2017-12-07,852.2
2017-12-08,825.6
2017-12-09,687.6
2017-12-10,695.48
2017-12-11,666.65
2017-12-12,552.0
2017-12-13,482.5
2017-12-14,502.87
2017-12-15,434.63
2017-12-16,404.75
2017-12-17,434.75
2017-12-18,391.88
2017-12-19,430.25
2017-12-20,442.38
2017-12-21,388.0
2017-12-22,337.25
2017-12-23,384.25
2017-12-24,409.0
2017-12-25,422.25
2017-12-26,382.88
2017-12-27,390.62
2017-12-28,412.88
2017-12-29,506.62
2017-12-30,585.0
2017-12-31,719.75
2018-01-01,782.5
2018-01-02,850.0
2018-01-03,766.88
2018-01-04,646.75
2018-01-05,650.75
2018-01-06,966.25
2018-01-07,1025.38
2018-01-08,1258.75
2018-01-09,1475.44
2018-01-10,1441.68
2018-01-11,1314.86
2018-01-12,1214.94
2018-01-13,1113.03
2018-01-14,972.21
2018-01-15,834.3
2018-01-16,958.21
2018-01-17,1009.64
2018-01-18,1033.18
2018-01-19,936.71
2018-01-20,797.67
2018-01-21,663.83
2018-01-22,608.62
2018-01-23,614.79
2018-01-24,618.75
2018-01-25,617.5
2018-01-26,669.75
2018-01-27,681.25
2018-01-28,569.29
2018-01-29,561.92
2018-01-30,576.29
2018-01-31,702.25
2018-02-01,887.92
2018-02-02,966.63
2018-02-03,801.79
2018-02-04,664.13
2018-02-05,595.0
2018-02-06,577.29
2018-02-07,567.46
2018-02-08,581.25
2018-02-09,576.8
2018-02-10,480.76
2018-02-11,472.74
2018-02-12,439.78
2018-02-13,590.61
2018-02-14,456.76
2018-02-15,442.72
2018-02-16,448.81
2018-02-17,456.76
2018-02-18,487.72
2018-02-19,517.83
2018-02-20,538.87
2018-02-21,576.76
2018-02-22,652.65
2018-02-23,682.65
2018-02-24,626.57
2018-02-25,588.59
2018-02-26,610.72
2018-02-27,725.63
2018-02-28,816.5
2018-03-01,868.57
2018-03-02,843.57
2018-03-03,817.41
2018-03-04,969.22
2018-03-05,988.63
2018-03-06,909.57
2018-03-07,889.73
2018-03-08,747.92
2018-03-09,680.22
2018-03-10,738.75
2018-03-11,884.0
2018-03-12,873.92
2018-03-13,839.22
2018-03-14,759.39
2018-03-15,703.83
2018-03-16,690.69
2018-03-17,744.75
2018-03-18,844.31
2018-03-19,910.61
2018-03-20,682.08
2018-03-21,594.67
2018-03-22,607.67
2018-03-23,691.61
2018-03-24,662.06
2018-03-25,590.92
2018-03-26,556.81
2018-03-27,500.08
2018-03-28,430.83
2018-03-29,442.81
2018-03-30,408.67
2018-03-31,393.56
2018-04-01,380.83
2018-04-02,374.72
2018-04-03,373.11
2018-04-04,391.42
2018-04-05,427.67
2018-04-06,452.94
2018-04-07,461.94
2018-04-08,401.39
2018-04-09,386.92
2018-04-10,369.96
2018-04-11,348.19
2018-04-12,313.07
2018-04-13,303.3
2018-04-14,284.78
2018-04-15,285.78
2018-04-16,268.48
2018-04-17,272.19
2018-04-18,276.19
2018-04-19,275.59
2018-04-20,259.19
2018-04-21,284.78
2018-04-22,273.19
2018-04-23,251.19
2018-04-24,259.11
2018-04-25,244.89
2018-04-26,244.52
2018-04-27,227.89
2018-04-28,231.89
2018-04-29,226.89
2018-04-30,240.0
2018-05-01,217.59
2018-05-02,232.3
2018-05-03,246.59
2018-05-04,210.41
2018-05-05,204.59
2018-05-06,214.59
2018-05-07,239.3
2018-05-08,223.59
2018-05-09,217.33
2018-05-10,209.89
2018-05-11,209.0
2018-05-12,214.0
2018-05-13,220.89
2018-05-14,210.59
2018-05-15,210.93
2018-05-16,195.59
2018-05-17,188.3
2018-05-18,216.59
2018-05-19,202.7
2018-05-20,235.3
2018-05-21,249.19
2018-05-22,287.48
2018-05-23,252.89
2018-05-24,254.59
2018-05-25,254.59
2018-05-26,220.3
2018-05-27,199.7
2018-05-28,236.3
2018-05-29,199.59
2018-05-30,246.89
2018-05-31,189.11
2018-06-01,216.3
2018-06-02,205.7
2018-06-03,211.7
2018-06-04,201.93
2018-06-05,208.41
2018-06-06,211.7
2018-06-07,210.0
2018-06-08,232.11
2018-06-09,233.11
2018-06-10,238.7
2018-06-11,239.7
2018-06-12,227.59
2018-06-13,217.3
2018-06-14,211.81
2018-06-15,242.63
2018-06-16,234.0
2018-06-17,240.7
2018-06-18,251.59
2018-06-19,232.59
2018-06-20,212.3
2018-06-21,209.3
2018-06-22,222.0
2018-06-23,184.7
2018-06-24,206.7
2018-06-25,188.0
2018-06-26,192.0
2018-06-27,209.22
2018-06-28,180.7
2018-06-29,175.11
2018-06-30,166.7
2018-07-01,175.41
2018-07-02,179.41
2018-07-03,181.81
2018-07-04,170.11
2018-07-05,149.81
2018-07-06,166.93
2018-07-07,156.52
2018-07-08,149.81
2018-07-09,153.11
2018-07-10,139.25
2018-07-11,136.47
2018-07-12,150.89
2018-07-13,156.58
2018-07-14,150.64
2018-07-15,161.61
2018-07-16,154.33
2018-07-17,131.22
2018-07-18,170.94
2018-07-19,184.67
2018-07-20,165.97
2018-07-21,140.25
2018-07-22,142.06
2018-07-23,151.67
2018-07-24,147.33
2018-07-25,155.28
2018-07-26,138.47
2018-07-27,140.47
2018-07-28,144.11
2018-07-29,139.33
2018-07-30,156.08
2018-07-31,132.69
2018-08-01,132.81
2018-08-02,150.65
2018-08-03,178.56
2018-08-04,218.59
2018-08-05,311.37
2018-08-06,381.28
2018-08-07,381.43
2018-08-08,352.09
2018-08-09,313.91
2018-08-10,303.89
2018-08-11,262.96
2018-08-12,228.06
2018-08-13,201.0
2018-08-14,186.02
2018-08-15,184.06
2018-08-16,181.19
2018-08-17,180.13
2018-08-18,168.07
2018-08-19,187.15
2018-08-20,176.33
2018-08-21,193.52
2018-08-22,170.65
2018-08-23,173.52
2018-08-24,166.52
2018-08-25,156.46
2018-08-26,159.13
2018-08-27,160.11
2018-08-28,165.41
2018-08-29,140.44
2018-08-30,154.67
2018-08-31,139.59
2018-09-01,143.86
2018-09-02,140.04
2018-09-03,137.21
2018-09-04,140.17
2018-09-05,141.58
2018-09-06,150.33
2018-09-07,130.08
2018-09-08,132.21
2018-09-09,148.63
2018-09-10,131.29
2018-09-11,129.67
2018-09-12,142.5
2018-09-13,131.96
2018-09-14,143.29
2018-09-15,167.08
2018-09-16,134.21
2018-09-17,154.88
2018-09-18,178.71
2018-09-19,209.92
2018-09-20,207.67
2018-09-21,252.96
2018-09-22,240.33
2018-09-23,228.75
2018-09-24,247.21
2018-09-25,240.89
2018-09-26,224.75
2018-09-27,197.53
2018-09-28,189.31
2018-09-29,180.92
2018-09-30,166.83
2018-10-01,181.75
2018-10-02,231.66
2018-10-03,264.96
2018-10-04,256.27
2018-10-05,275.44
2018-10-06,247.05
2018-10-07,254.39
2018-10-08,255.61
2018-10-09,262.96
2018-10-10,375.57
2018-10-11,482.65
2018-10-12,637.74
2018-10-13,668.74
2018-10-14,561.69
2018-10-15,535.39
2018-10-16,481.61
2018-10-17,430.26
2018-10-18,404.31
2018-10-19,456.22
2018-10-20,636.52
2018-10-21,623.21
2018-10-22,574.91
2018-10-23,468.0
2018-10-24,458.39
2018-10-25,395.39
2018-10-26,475.18
2018-10-27,566.69
2018-10-28,680.87
2018-10-29,742.56
2018-10-30,680.91
2018-10-31,626.78
2018-11-01,591.0
2018-11-02,548.56
2018-11-03,521.0
2018-11-04,433.09
2018-11-05,518.83
2018-11-06,604.35
2018-11-07,570.09
2018-11-08,648.52
2018-11-09,643.13
2018-11-10,707.08
2018-11-11,800.65
2018-11-12,812.18
2018-11-13,852.82
2018-11-14,717.09
2018-11-15,650.82
2018-11-16,644.56
2018-11-17,614.26
2018-11-18,608.48
2018-11-19,590.65
2018-11-20,722.74
2018-11-21,1088.47
2018-11-22,1299.3
2018-11-23,1474.64
2018-11-24,1253.51
2018-11-25,1085.21
2018-11-26,1070.47
2018-11-27,1113.9
2018-11-28,1186.47
2018-11-29,1128.94
2018-11-30,1051.67
2018-12-01,976.04
2018-12-02,1329.21
2018-12-03,1659.38
2018-12-04,1745.0
2018-12-05,1586.42
2018-12-06,1330.75
2018-12-07,1127.58
2018-12-08,1089.12
2018-12-09,1135.95
2018-12-10,1023.39
2018-12-11,880.61
2018-12-12,835.83
2018-12-13,641.02
2018-12-14,678.02
2018-12-15,653.74
2018-12-16,588.81
2018-12-17,610.22
2018-12-18,633.0
2018-12-19,747.72
2018-12-20,754.76
2018-12-21,686.74
2018-12-22,683.69
2018-12-23,599.63
2018-12-24,671.69
2018-12-25,621.57
2018-12-26,807.43
2018-12-27,974.28
2018-12-28,1012.44
2018-12-29,942.28
2018-12-30,896.31
2018-12-31,824.5
2019-01-01,827.43
2019-01-02,804.43
2019-01-03,668.63
2019-01-04,695.94
2019-01-05,781.19
2019-01-06,945.89
2019-01-07,1057.75
2019-01-08,1088.78
2019-01-09,958.78
2019-01-10,777.81
2019-01-11,652.83
2019-01-12,566.08
2019-01-13,509.39
2019-01-14,516.47
2019-01-15,502.67
2019-01-16,500.36
2019-01-17,531.64
2019-01-18,588.31
2019-01-19,558.03
2019-01-20,612.92
2019-01-21,641.44
2019-01-22,625.14
2019-01-23,655.58
2019-01-24,657.03
2019-01-25,620.44
2019-01-26,565.28
2019-01-27,536.56
2019-01-28,613.14
